order,order_condensed,order_condensed_dairy
rheiformes,galliformes,galliformes
falconiformes,accipitriformes,accipitriformes
apodiformes,passeriformes,passeriformes
podicipediformes,charadriiformes,charadriiformes
artiodactyla,nonhuman-mammal,dairy_cow
carnivora,nonhuman-mammal,nonhuman-mammal
casuariiformes,galliformes,galliformes
didelphimorphia,nonhuman-mammal,nonhuman-mammal
gaviiformes,charadriiformes,charadriiformes
suliformes,charadriiformes,charadriiformes
pelecaniformes,charadriiformes,charadriiformes
psittaciformes,galliformes,galliformes
gruiformes,charadriiformes,charadriiformes
galliformes,galliformes,galliformes
accipitriformes,accipitriformes,accipitriformes
passeriformes,passeriformes,passeriformes
charadriiformes,charadriiformes,charadriiformes
nonhuman-mammal,nonhuman-mammal,nonhuman-mammal
anseriformes,anseriformes,anseriformes
strigiformes,strigiformes,strigiformes
columbiformes,passeriformes,passeriformes
ciconiiformes,charadriiformes,charadriiformes
cathartiformes,accipitriformes,accipitriformes
procellariiformes,charadriiformes,charadriiformes
phoenicopteriformes,charadriiformes,charadriiformes
coraciiformes,passeriformes,passeriformes