Confirmed,State,Special Id,Production,Species,No Measure Value
6/3/25,California,CA 773,Dairy Milking Cows,Cattle,
5/21/25,Idaho,ID 110,Dairy Milking Cows,Cattle,
5/21/25,Idaho,ID 111,Dairy Milking Cows,Cattle,
5/19/25,Idaho,ID 105,Dairy Milking Cows,Cattle,
5/19/25,Idaho,ID 106,Dairy Milking Cows,Cattle,
5/19/25,Idaho,ID 107,Dairy Milking Cows,Cattle,
5/19/25,Idaho,ID 108,Dairy Milking Cows,Cattle,
5/19/25,Idaho,ID 109,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 095,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 096,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 097,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 098,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 099,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 100,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 101,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 102,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 103,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 104,Dairy Milking Cows,Cattle,
5/12/25,Texas,TX 028,Dairy Milking Cows,Cattle,
5/12/25,Texas,TX 029,Dairy Milking Cows,Cattle,
5/7/25,Arizona,AZ 004,Dairy Milking Cows,Cattle,
5/5/25,Idaho,ID 091,Dairy Milking Cows,Cattle,
5/5/25,Idaho,ID 092,Dairy Milking Cows,Cattle,
5/5/25,Idaho,ID 093,Dairy Milking Cows,Cattle,
5/5/25,Idaho,ID 094,Dairy Milking Cows,Cattle,
4/30/25,California,CA 764,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 076,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 077,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 078,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 079,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 080,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 081,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 082,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 083,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 084,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 085,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 086,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 087,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 088,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 089,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 090,Dairy Milking Cows,Cattle,
4/23/25,Arizona,AZ 003,Dairy Milking Cows,Cattle,
4/21/25,California,CA 772,Dairy Milking Cows,Cattle,
4/21/25,Idaho,ID 059,Dairy Milking Cows,Cattle,
4/21/25,Idaho,ID 068,Dairy Milking Cows,Cattle,
4/21/25,Idaho,ID 069,Dairy Milking Cows,Cattle,
4/21/25,Idaho,ID 070,Dairy Milking Cows,Cattle,
4/21/25,Idaho,ID 071,Dairy Milking Cows,Cattle,
4/21/25,Idaho,ID 072,Dairy Milking Cows,Cattle,
4/21/25,Idaho,ID 073,Dairy Milking Cows,Cattle,
4/21/25,Idaho,ID 074,Dairy Milking Cows,Cattle,
4/21/25,Idaho,ID 075,Dairy Milking Cows,Cattle,
4/14/25,California,CA 756,Dairy Milking Cows,Cattle,
4/11/25,California,CA 741,Dairy Milking Cows,Cattle,
4/11/25,California,CA 770,Dairy Milking Cows,Cattle,
4/11/25,California,CA 771,Dairy Milking Cows,Cattle,
4/11/25,Idaho,ID 060,Dairy Milking Cows,Cattle,
4/11/25,Idaho,ID 061,Dairy Milking Cows,Cattle,
4/11/25,Idaho,ID 062,Dairy Milking Cows,Cattle,
4/11/25,Idaho,ID 063,Dairy Milking Cows,Cattle,
4/11/25,Idaho,ID 064,Dairy Milking Cows,Cattle,
4/11/25,Idaho,ID 065,Dairy Milking Cows,Cattle,
4/11/25,Idaho,ID 066,Dairy Milking Cows,Cattle,
4/11/25,Idaho,ID 067,Dairy Milking Cows,Cattle,
4/9/25,Arizona,AZ 002,Dairy Milking Cows,Cattle,
4/9/25,Idaho,ID 050,Dairy Milking Cows,Cattle,
4/9/25,Idaho,ID 052,Dairy Milking Cows,Cattle,
4/7/25,California,CA 769,Dairy Milking Cows,Cattle,
4/7/25,Idaho,ID 054,Dairy Milking Cows,Cattle,
4/7/25,Idaho,ID 055,Dairy Milking Cows,Cattle,
4/7/25,Idaho,ID 056,Dairy Milking Cows,Cattle,
4/7/25,Idaho,ID 057,Dairy Milking Cows,Cattle,
4/7/25,Idaho,ID 058,Dairy Milking Cows,Cattle,
3/31/25,Idaho,ID 051,Dairy Milking Cows,Cattle,
3/28/25,California,CA 768,Dairy Milking Cows,Cattle,
3/28/25,Idaho,ID 049,Dairy Milking Cows,Cattle,
3/28/25,Idaho,ID 053,Dairy Milking Cows,Cattle,
3/26/25,California,CA 767,Dairy Milking Cows,Cattle,
3/26/25,Nevada,NV 012,Dairy Milking Cows,Cattle,
3/24/25,California,CA 766,Dairy Milking Cows,Cattle,
3/24/25,Idaho,ID 046,Dairy Milking Cows,Cattle,
3/24/25,Idaho,ID 047,Dairy Milking Cows,Cattle,
3/24/25,Idaho,ID 048,Dairy Milking Cows,Cattle,
3/14/25,California,CA 763,Dairy Milking Cows,Cattle,
3/14/25,Idaho,ID 043,Dairy Milking Cows,Cattle,
3/14/25,Idaho,ID 044,Dairy Milking Cows,Cattle,
3/14/25,Idaho,ID 045,Dairy Milking Cows,Cattle,
3/11/25,Idaho,ID 041,Dairy Milking Cows,Cattle,
3/11/25,Idaho,ID 042,Dairy Milking Cows,Cattle,
3/10/25,California,CA 645,Dairy Milking Cows,Cattle,
3/7/25,California,CA 759,Dairy Milking Cows,Cattle,
3/7/25,California,CA 760,Dairy Milking Cows,Cattle,
3/7/25,California,CA 761,Dairy Milking Cows,Cattle,
3/7/25,California,CA 762,Dairy Milking Cows,Cattle,
3/4/25,California,CA 758,Dairy Milking Cows,Cattle,
3/3/25,California,CA 757,Dairy Milking Cows,Cattle,
2/28/25,Idaho,ID 040,Dairy Milking Cows,Cattle,
2/25/25,Nevada,NV 010,Dairy Milking Cows,Cattle,
2/25/25,Nevada,NV 011,Dairy Milking Cows,Cattle,
2/24/25,California,CA 755,Dairy Milking Cows,Cattle,
2/14/25,Arizona,AZ 001,Dairy Milking Cows,Cattle,
2/14/25,California,CA 754,Dairy Milking Cows,Cattle,
2/14/25,Nevada,NV 009,Dairy Milking Cows,Cattle,
2/12/25,California,CA 753,Dairy Milking Cows,Cattle,
2/10/25,California,CA 724,Dairy Milking Cows,Cattle,
2/10/25,California,CA 727,Dairy Milking Cows,Cattle,
2/10/25,California,CA 729,Dairy Milking Cows,Cattle,
2/10/25,California,CA 730,Dairy Milking Cows,Cattle,
2/10/25,California,CA 731,Dairy Milking Cows,Cattle,
2/6/25,Nevada,NV 007,Dairy Milking Cows,Cattle,
2/6/25,Nevada,NV 008,Dairy Milking Cows,Cattle,
2/3/25,California,CA 698,Dairy Milking Cows,Cattle,
2/3/25,California,CA 713,Dairy Milking Cows,Cattle,
1/31/25,California,CA 746,Dairy Milking Cows,Cattle,
1/31/25,California,CA 752,Dairy Milking Cows,Cattle,
1/31/25,Nevada,NV 002,Dairy Milking Cows,Cattle,
1/31/25,Nevada,NV 003,Dairy Milking Cows,Cattle,
1/31/25,Nevada,NV 004,Dairy Milking Cows,Cattle,
1/31/25,Nevada,NV 005,Dairy Milking Cows,Cattle,
1/28/25,California,CA 370,Dairy Milking Cows,Cattle,
1/28/25,California,CA 749,Dairy Milking Cows,Cattle,
1/27/25,California,CA 410,Dairy Milking Cows,Cattle,
1/27/25,California,CA 747,Dairy Milking Cows,Cattle,
1/24/25,California,CA 745,Dairy Milking Cows,Cattle,
1/24/25,California,CA 748,Dairy Milking Cows,Cattle,
1/23/25,California,CA 602,Dairy Milking Cows,Cattle,
1/23/25,California,CA 603,Dairy Milking Cows,Cattle,
1/23/25,California,CA 604,Dairy Milking Cows,Cattle,
1/22/25,California,CA 655,Dairy Milking Cows,Cattle,
1/22/25,California,CA 726,Dairy Milking Cows,Cattle,
1/22/25,California,CA 728,Dairy Milking Cows,Cattle,
1/22/25,California,CA 733,Dairy Milking Cows,Cattle,
1/22/25,California,CA 744,Dairy Milking Cows,Cattle,
1/21/25,California,CA 739,Dairy Milking Cows,Cattle,
1/21/25,California,CA 740,Dairy Milking Cows,Cattle,
1/21/25,California,CA 742,Dairy Milking Cows,Cattle,
1/21/25,Michigan,MI 032,Dairy Milking Cows,Cattle,
1/17/25,California,CA 738,Dairy Milking Cows,Cattle,
1/14/25,California,CA 725,Dairy Milking Cows,Cattle,
1/14/25,California,CA 732,Dairy Milking Cows,Cattle,
1/14/25,California,CA 734,Dairy Milking Cows,Cattle,
1/14/25,California,CA 735,Dairy Milking Cows,Cattle,
1/14/25,California,CA 736,Dairy Milking Cows,Cattle,
1/14/25,California,CA 737,Dairy Milking Cows,Cattle,
1/13/25,California,CA 721,Dairy Milking Cows,Cattle,
1/13/25,California,CA 722,Dairy Milking Cows,Cattle,
1/12/25,California,CA 648,Dairy Milking Cows,Cattle,
1/10/25,California,CA 723,Dairy Milking Cows,Cattle,
1/8/25,California,CA 720,Dairy Milking Cows,Cattle,
1/7/25,California,CA 717,Dairy Milking Cows,Cattle,
1/7/25,California,CA 718,Dairy Milking Cows,Cattle,
1/7/25,California,CA 719,Dairy Milking Cows,Cattle,
1/3/25,California,CA 371,Dairy Milking Cows,Cattle,
1/3/25,California,CA 714,Dairy Milking Cows,Cattle,
1/3/25,California,CA 715,Dairy Milking Cows,Cattle,
1/3/25,California,CA 716,Dairy Milking Cows,Cattle,
12/31/24,California,CA 711,Dairy Milking Cows,Cattle,
12/31/24,California,CA 712,Dairy Milking Cows,Cattle,
12/30/24,Michigan,MI 031,Dairy Milking Cows,Cattle,
12/27/24,California,CA 707,Dairy Milking Cows,Cattle,
12/27/24,California,CA 708,Dairy Milking Cows,Cattle,
12/27/24,California,CA 709,Dairy Milking Cows,Cattle,
12/26/24,California,CA 692,Dairy Milking Cows,Cattle,
12/26/24,California,CA 693,Dairy Milking Cows,Cattle,
12/26/24,California,CA 694,Dairy Milking Cows,Cattle,
12/26/24,California,CA 696,Dairy Milking Cows,Cattle,
12/26/24,California,CA 702,Dairy Milking Cows,Cattle,
12/26/24,California,CA 703,Dairy Milking Cows,Cattle,
12/26/24,California,CA 704,Dairy Milking Cows,Cattle,
12/26/24,California,CA 706,Dairy Milking Cows,Cattle,
12/26/24,California,CA 710,Dairy Milking Cows,Cattle,
12/24/24,California,CA 338,Dairy Milking Cows,Cattle,
12/24/24,California,CA 637,Dairy Milking Cows,Cattle,
12/24/24,California,CA 697,Dairy Milking Cows,Cattle,
12/24/24,California,CA 700,Dairy Milking Cows,Cattle,
12/23/24,California,CA 680,Dairy Milking Cows,Cattle,
12/23/24,California,CA 681,Dairy Milking Cows,Cattle,
12/23/24,California,CA 682,Dairy Milking Cows,Cattle,
12/23/24,California,CA 683,Dairy Milking Cows,Cattle,
12/23/24,California,CA 684,Dairy Milking Cows,Cattle,
12/23/24,California,CA 685,Dairy Milking Cows,Cattle,
12/23/24,California,CA 686,Dairy Milking Cows,Cattle,
12/23/24,California,CA 687,Dairy Milking Cows,Cattle,
12/23/24,California,CA 688,Dairy Milking Cows,Cattle,
12/23/24,California,CA 689,Dairy Milking Cows,Cattle,
12/23/24,California,CA 690,Dairy Milking Cows,Cattle,
12/23/24,California,CA 691,Dairy Milking Cows,Cattle,
12/23/24,California,CA 695,Dairy Milking Cows,Cattle,
12/23/24,California,CA 699,Dairy Milking Cows,Cattle,
12/23/24,California,CA 701,Dairy Milking Cows,Cattle,
12/23/24,California,CA 705,Dairy Milking Cows,Cattle,
12/19/24,California,CA 479,Dairy Milking Cows,Cattle,
12/18/24,California,CA 117,Dairy Milking Cows,Cattle,
12/18/24,California,CA 336,Dairy Milking Cows,Cattle,
12/18/24,California,CA 668,Dairy Milking Cows,Cattle,
12/18/24,California,CA 669,Dairy Milking Cows,Cattle,
12/18/24,California,CA 670,Dairy Milking Cows,Cattle,
12/18/24,California,CA 671,Dairy Milking Cows,Cattle,
12/18/24,California,CA 672,Dairy Milking Cows,Cattle,
12/18/24,California,CA 673,Dairy Milking Cows,Cattle,
12/18/24,California,CA 675,Dairy Milking Cows,Cattle,
12/18/24,California,CA 676,Dairy Milking Cows,Cattle,
12/18/24,California,CA 677,Dairy Milking Cows,Cattle,
12/18/24,California,CA 678,Dairy Milking Cows,Cattle,
12/18/24,California,CA 679,Dairy Milking Cows,Cattle,
12/17/24,California,CA 674,Dairy Milking Cows,Cattle,
12/16/24,California,CA 658,Dairy Milking Cows,Cattle,
12/16/24,California,CA 661,Dairy Milking Cows,Cattle,
12/16/24,California,CA 662,Dairy Milking Cows,Cattle,
12/16/24,California,CA 663,Dairy Milking Cows,Cattle,
12/16/24,California,CA 664,Dairy Milking Cows,Cattle,
12/16/24,California,CA 665,Dairy Milking Cows,Cattle,
12/16/24,California,CA 666,Dairy Milking Cows,Cattle,
12/14/24,California,CA 644,Dairy Milking Cows,Cattle,
12/13/24,California,CA 651,Dairy Milking Cows,Cattle,
12/13/24,California,CA 652,Dairy Milking Cows,Cattle,
12/13/24,California,CA 653,Dairy Milking Cows,Cattle,
12/13/24,California,CA 654,Dairy Milking Cows,Cattle,
12/13/24,California,CA 656,Dairy Milking Cows,Cattle,
12/13/24,California,CA 659,Dairy Milking Cows,Cattle,
12/13/24,California,CA 660,Dairy Milking Cows,Cattle,
12/13/24,California,CA 667,Dairy Milking Cows,Cattle,
12/13/24,Texas,TX 027,Dairy Milking Cows,Cattle,
12/12/24,California,CA 337,Dairy Milking Cows,Cattle,
12/12/24,California,CA 568,Dairy Milking Cows,Cattle,
12/12/24,California,CA 642,Dairy Milking Cows,Cattle,
12/12/24,California,CA 646,Dairy Milking Cows,Cattle,
12/12/24,California,CA 647,Dairy Milking Cows,Cattle,
12/12/24,California,CA 649,Dairy Milking Cows,Cattle,
12/11/24,California,CA 554,Dairy Milking Cows,Cattle,
12/11/24,California,CA 575,Dairy Milking Cows,Cattle,
12/11/24,California,CA 589,Dairy Milking Cows,Cattle,
12/11/24,California,CA 638,Dairy Milking Cows,Cattle,
12/11/24,California,CA 639,Dairy Milking Cows,Cattle,
12/10/24,California,CA 534,Dairy Milking Cows,Cattle,
12/10/24,California,CA 547,Dairy Milking Cows,Cattle,
12/10/24,California,CA 548,Dairy Milking Cows,Cattle,
12/10/24,California,CA 551,Dairy Milking Cows,Cattle,
12/10/24,California,CA 558,Dairy Milking Cows,Cattle,
12/10/24,California,CA 560,Dairy Milking Cows,Cattle,
12/10/24,California,CA 563,Dairy Milking Cows,Cattle,
12/10/24,California,CA 569,Dairy Milking Cows,Cattle,
12/10/24,California,CA 570,Dairy Milking Cows,Cattle,
12/10/24,California,CA 571,Dairy Milking Cows,Cattle,
12/10/24,California,CA 574,Dairy Milking Cows,Cattle,
12/10/24,California,CA 576,Dairy Milking Cows,Cattle,
12/10/24,California,CA 578,Dairy Milking Cows,Cattle,
12/10/24,California,CA 579,Dairy Milking Cows,Cattle,
12/10/24,California,CA 580,Dairy Milking Cows,Cattle,
12/10/24,California,CA 581,Dairy Milking Cows,Cattle,
12/10/24,California,CA 583,Dairy Milking Cows,Cattle,
12/10/24,California,CA 585,Dairy Milking Cows,Cattle,
12/10/24,California,CA 586,Dairy Milking Cows,Cattle,
12/10/24,California,CA 587,Dairy Milking Cows,Cattle,
12/10/24,California,CA 588,Dairy Milking Cows,Cattle,
12/10/24,California,CA 591,Dairy Milking Cows,Cattle,
12/10/24,California,CA 592,Dairy Milking Cows,Cattle,
12/10/24,California,CA 593,Dairy Milking Cows,Cattle,
12/10/24,California,CA 594,Dairy Milking Cows,Cattle,
12/10/24,California,CA 595,Dairy Milking Cows,Cattle,
12/10/24,California,CA 596,Dairy Milking Cows,Cattle,
12/10/24,California,CA 597,Dairy Milking Cows,Cattle,
12/10/24,California,CA 598,Dairy Milking Cows,Cattle,
12/10/24,California,CA 599,Dairy Milking Cows,Cattle,
12/10/24,California,CA 600,Dairy Milking Cows,Cattle,
12/10/24,California,CA 601,Dairy Milking Cows,Cattle,
12/10/24,California,CA 605,Dairy Milking Cows,Cattle,
12/10/24,California,CA 606,Dairy Milking Cows,Cattle,
12/10/24,California,CA 607,Dairy Milking Cows,Cattle,
12/10/24,California,CA 608,Dairy Milking Cows,Cattle,
12/10/24,California,CA 609,Dairy Milking Cows,Cattle,
12/10/24,California,CA 610,Dairy Milking Cows,Cattle,
12/10/24,California,CA 611,Dairy Milking Cows,Cattle,
12/10/24,California,CA 612,Dairy Milking Cows,Cattle,
12/10/24,California,CA 613,Dairy Milking Cows,Cattle,
12/10/24,California,CA 614,Dairy Milking Cows,Cattle,
12/10/24,California,CA 615,Dairy Milking Cows,Cattle,
12/10/24,California,CA 616,Dairy Milking Cows,Cattle,
12/10/24,California,CA 617,Dairy Milking Cows,Cattle,
12/10/24,California,CA 618,Dairy Milking Cows,Cattle,
12/10/24,California,CA 619,Dairy Milking Cows,Cattle,
12/10/24,California,CA 620,Dairy Milking Cows,Cattle,
12/10/24,California,CA 621,Dairy Milking Cows,Cattle,
12/10/24,California,CA 622,Dairy Milking Cows,Cattle,
12/10/24,California,CA 623,Dairy Milking Cows,Cattle,
12/10/24,California,CA 624,Dairy Milking Cows,Cattle,
12/10/24,California,CA 625,Dairy Milking Cows,Cattle,
12/10/24,California,CA 626,Dairy Milking Cows,Cattle,
12/10/24,California,CA 627,Dairy Milking Cows,Cattle,
12/10/24,California,CA 628,Dairy Milking Cows,Cattle,
12/10/24,California,CA 629,Dairy Milking Cows,Cattle,
12/10/24,California,CA 630,Dairy Milking Cows,Cattle,
12/10/24,California,CA 631,Dairy Milking Cows,Cattle,
12/10/24,California,CA 632,Dairy Milking Cows,Cattle,
12/10/24,California,CA 633,Dairy Milking Cows,Cattle,
12/10/24,California,CA 634,Dairy Milking Cows,Cattle,
12/10/24,California,CA 635,Dairy Milking Cows,Cattle,
12/10/24,California,CA 636,Dairy Milking Cows,Cattle,
12/10/24,California,CA 640,Dairy Milking Cows,Cattle,
12/10/24,California,CA 641,Dairy Milking Cows,Cattle,
12/10/24,California,CA 650,Dairy Milking Cows,Cattle,
12/9/24,California,CA 529,Dairy Milking Cows,Cattle,
12/9/24,California,CA 530,Dairy Milking Cows,Cattle,
12/9/24,California,CA 531,Dairy Milking Cows,Cattle,
12/9/24,California,CA 532,Dairy Milking Cows,Cattle,
12/9/24,California,CA 533,Dairy Milking Cows,Cattle,
12/9/24,California,CA 535,Dairy Milking Cows,Cattle,
12/9/24,California,CA 536,Dairy Milking Cows,Cattle,
12/9/24,California,CA 537,Dairy Milking Cows,Cattle,
12/9/24,California,CA 538,Dairy Milking Cows,Cattle,
12/9/24,California,CA 539,Dairy Milking Cows,Cattle,
12/9/24,California,CA 540,Dairy Milking Cows,Cattle,
12/9/24,California,CA 541,Dairy Milking Cows,Cattle,
12/9/24,California,CA 542,Dairy Milking Cows,Cattle,
12/9/24,California,CA 543,Dairy Milking Cows,Cattle,
12/9/24,California,CA 544,Dairy Milking Cows,Cattle,
12/9/24,California,CA 545,Dairy Milking Cows,Cattle,
12/9/24,California,CA 546,Dairy Milking Cows,Cattle,
12/9/24,California,CA 549,Dairy Milking Cows,Cattle,
12/9/24,California,CA 550,Dairy Milking Cows,Cattle,
12/9/24,California,CA 552,Dairy Milking Cows,Cattle,
12/9/24,California,CA 553,Dairy Milking Cows,Cattle,
12/9/24,California,CA 555,Dairy Milking Cows,Cattle,
12/9/24,California,CA 556,Dairy Milking Cows,Cattle,
12/9/24,California,CA 557,Dairy Milking Cows,Cattle,
12/9/24,California,CA 559,Dairy Milking Cows,Cattle,
12/9/24,California,CA 561,Dairy Milking Cows,Cattle,
12/9/24,California,CA 562,Dairy Milking Cows,Cattle,
12/9/24,California,CA 564,Dairy Milking Cows,Cattle,
12/9/24,California,CA 565,Dairy Milking Cows,Cattle,
12/9/24,California,CA 566,Dairy Milking Cows,Cattle,
12/9/24,California,CA 567,Dairy Milking Cows,Cattle,
12/9/24,California,CA 572,Dairy Milking Cows,Cattle,
12/9/24,California,CA 573,Dairy Milking Cows,Cattle,
12/9/24,California,CA 577,Dairy Milking Cows,Cattle,
12/9/24,California,CA 582,Dairy Milking Cows,Cattle,
12/9/24,California,CA 584,Dairy Milking Cows,Cattle,
12/9/24,California,CA 590,Dairy Milking Cows,Cattle,
12/6/24,California,CA 514,Dairy Milking Cows,Cattle,
12/6/24,California,CA 515,Dairy Milking Cows,Cattle,
12/6/24,California,CA 516,Dairy Milking Cows,Cattle,
12/6/24,California,CA 517,Dairy Milking Cows,Cattle,
12/6/24,California,CA 518,Dairy Milking Cows,Cattle,
12/6/24,California,CA 519,Dairy Milking Cows,Cattle,
12/6/24,California,CA 520,Dairy Milking Cows,Cattle,
12/6/24,California,CA 521,Dairy Milking Cows,Cattle,
12/6/24,California,CA 522,Dairy Milking Cows,Cattle,
12/6/24,California,CA 523,Dairy Milking Cows,Cattle,
12/6/24,California,CA 524,Dairy Milking Cows,Cattle,
12/6/24,California,CA 525,Dairy Milking Cows,Cattle,
12/6/24,California,CA 526,Dairy Milking Cows,Cattle,
12/6/24,California,CA 527,Dairy Milking Cows,Cattle,
12/6/24,Nevada,NV 001,Dairy Milking Cows,Cattle,
12/5/24,California,CA 485,Dairy Milking Cows,Cattle,
12/4/24,California,CA 528,Dairy Milking Cows,Cattle,
12/3/24,California,CA 240,Dairy Milking Cows,Cattle,
12/3/24,California,CA 254,Dairy Milking Cows,Cattle,
12/3/24,California,CA 490,Dairy Milking Cows,Cattle,
12/3/24,California,CA 491,Dairy Milking Cows,Cattle,
